v1	I(V1)	I(V1)*v1
Step Information: Sun=200m Sun2=400m Sun3=600m  (Run: 1/60)
2.930000000000015e+001	3.095142e+000	9.068767e+001
2.940000000000015e+001	3.095104e+000	9.099604e+001
2.950000000000015e+001	3.095065e+000	9.130441e+001
2.960000000000015e+001	3.095026e+000	9.161276e+001
2.970000000000015e+001	3.094987e+000	9.192110e+001
2.980000000000015e+001	3.094948e+000	9.222944e+001
2.990000000000016e+001	3.094908e+000	9.253776e+001
3.000000000000016e+001	3.094869e+000	9.284607e+001
3.010000000000016e+001	3.094829e+000	9.315436e+001
3.020000000000016e+001	3.094790e+000	9.346265e+001
3.030000000000016e+001	3.094750e+000	9.377093e+001
3.040000000000016e+001	3.094710e+000	9.407919e+001
3.050000000000016e+001	3.094670e+000	9.438744e+001
3.060000000000017e+001	3.094630e+000	9.469568e+001
3.070000000000017e+001	3.094589e+000	9.500390e+001
3.080000000000017e+001	3.094549e+000	9.531211e+001
3.090000000000017e+001	3.094508e+000	9.562030e+001
3.100000000000017e+001	3.094467e+000	9.592848e+001
3.110000000000017e+001	3.094426e+000	9.623665e+001
3.120000000000017e+001	3.094384e+000	9.654479e+001
3.130000000000018e+001	3.094343e+000	9.685293e+001
3.140000000000018e+001	3.094301e+000	9.716104e+001
3.150000000000018e+001	3.094258e+000	9.746913e+001
3.160000000000018e+001	3.094215e+000	9.777721e+001
3.170000000000018e+001	3.094172e+000	9.808526e+001
3.180000000000018e+001	3.094129e+000	9.839330e+001
3.190000000000018e+001	3.094085e+000	9.870131e+001
3.200000000000019e+001	3.094040e+000	9.900929e+001
3.210000000000019e+001	3.093996e+000	9.931726e+001
3.220000000000019e+001	3.093950e+000	9.962520e+001
3.230000000000019e+001	3.093904e+000	9.993311e+001
3.240000000000019e+001	3.093858e+000	1.002410e+002
3.250000000000019e+001	3.093810e+000	1.005488e+002
3.260000000000019e+001	3.093762e+000	1.008567e+002
3.270000000000020e+001	3.093714e+000	1.011644e+002
3.280000000000020e+001	3.093664e+000	1.014722e+002
3.290000000000020e+001	3.093614e+000	1.017799e+002
3.300000000000020e+001	3.093563e+000	1.020876e+002
3.310000000000020e+001	3.093510e+000	1.023952e+002
3.320000000000020e+001	3.093457e+000	1.027028e+002
3.330000000000020e+001	3.093402e+000	1.030103e+002
3.340000000000021e+001	3.093346e+000	1.033178e+002
3.350000000000021e+001	3.093289e+000	1.036252e+002
3.360000000000021e+001	3.093231e+000	1.039326e+002
3.370000000000021e+001	3.093171e+000	1.042399e+002
3.380000000000021e+001	3.093109e+000	1.045471e+002
3.390000000000021e+001	3.093045e+000	1.048542e+002
3.400000000000021e+001	3.092980e+000	1.051613e+002
3.410000000000022e+001	3.092912e+000	1.054683e+002
3.420000000000022e+001	3.092842e+000	1.057752e+002
3.430000000000022e+001	3.092770e+000	1.060820e+002
3.440000000000022e+001	3.092696e+000	1.063887e+002
3.450000000000022e+001	3.092618e+000	1.066953e+002
3.460000000000022e+001	3.092538e+000	1.070018e+002
3.470000000000022e+001	3.092454e+000	1.073082e+002
3.480000000000023e+001	3.092368e+000	1.076144e+002
3.490000000000023e+001	3.092277e+000	1.079205e+002
3.500000000000023e+001	3.092183e+000	1.082264e+002
3.510000000000023e+001	3.092084e+000	1.085321e+002
3.520000000000023e+001	3.091981e+000	1.088377e+002
3.530000000000023e+001	3.091873e+000	1.091431e+002
3.540000000000023e+001	3.091760e+000	1.094483e+002
3.550000000000023e+001	3.091641e+000	1.097533e+002
3.560000000000024e+001	3.091516e+000	1.100580e+002
3.570000000000024e+001	3.091385e+000	1.103624e+002
3.580000000000024e+001	3.091247e+000	1.106666e+002
3.590000000000024e+001	3.091101e+000	1.109705e+002
3.600000000000024e+001	3.090948e+000	1.112741e+002
3.610000000000024e+001	3.090785e+000	1.115773e+002
3.620000000000024e+001	3.090614e+000	1.118802e+002
3.630000000000025e+001	3.090433e+000	1.121827e+002
3.640000000000025e+001	3.090241e+000	1.124848e+002
3.650000000000025e+001	3.090038e+000	1.127864e+002
3.660000000000025e+001	3.089822e+000	1.130875e+002
3.670000000000025e+001	3.089593e+000	1.133881e+002
3.680000000000025e+001	3.089350e+000	1.136881e+002
3.690000000000025e+001	3.089092e+000	1.139875e+002
3.700000000000026e+001	3.088818e+000	1.142863e+002
3.710000000000026e+001	3.088527e+000	1.145843e+002
3.720000000000026e+001	3.088216e+000	1.148816e+002
3.730000000000026e+001	3.087885e+000	1.151781e+002
3.740000000000026e+001	3.087533e+000	1.154737e+002
3.750000000000026e+001	3.087158e+000	1.157684e+002
3.760000000000026e+001	3.086757e+000	1.160621e+002
3.770000000000027e+001	3.086330e+000	1.163546e+002
3.780000000000027e+001	3.085874e+000	1.166460e+002
3.790000000000027e+001	3.085388e+000	1.169362e+002
3.800000000000027e+001	3.084868e+000	1.172250e+002
3.810000000000027e+001	3.084313e+000	1.175123e+002
3.820000000000027e+001	3.083720e+000	1.177981e+002
3.830000000000027e+001	3.083086e+000	1.180822e+002
3.840000000000028e+001	3.082408e+000	1.183645e+002
3.850000000000028e+001	3.081683e+000	1.186448e+002
3.860000000000028e+001	3.080908e+000	1.189230e+002
3.870000000000028e+001	3.080078e+000	1.191990e+002
3.880000000000028e+001	3.079191e+000	1.194726e+002
3.890000000000028e+001	3.078242e+000	1.197436e+002
3.900000000000028e+001	3.077226e+000	1.200118e+002
3.910000000000029e+001	3.076138e+000	1.202770e+002
3.920000000000029e+001	3.074974e+000	1.205390e+002
3.930000000000029e+001	3.073728e+000	1.207975e+002
3.940000000000029e+001	3.072395e+000	1.210523e+002
3.950000000000029e+001	3.070967e+000	1.213032e+002
3.960000000000029e+001	3.069438e+000	1.215497e+002
3.970000000000029e+001	3.067801e+000	1.217917e+002
3.980000000000030e+001	3.066049e+000	1.220288e+002
3.990000000000030e+001	3.064174e+000	1.222605e+002
4.000000000000030e+001	3.062166e+000	1.224866e+002
4.010000000000030e+001	3.060016e+000	1.227067e+002
4.020000000000030e+001	3.057716e+000	1.229202e+002
4.030000000000030e+001	3.055254e+000	1.231267e+002
4.040000000000030e+001	3.052618e+000	1.233258e+002
4.050000000000031e+001	3.049799e+000	1.235168e+002
4.060000000000031e+001	3.046782e+000	1.236993e+002
4.070000000000031e+001	3.043555e+000	1.238727e+002
4.080000000000031e+001	3.040103e+000	1.240362e+002
4.090000000000031e+001	3.036412e+000	1.241893e+002
4.100000000000031e+001	3.032466e+000	1.243311e+002
4.110000000000031e+001	3.028248e+000	1.244610e+002
4.120000000000032e+001	3.023740e+000	1.245781e+002
4.130000000000032e+001	3.018924e+000	1.246816e+002
4.140000000000032e+001	3.013781e+000	1.247705e+002
4.150000000000032e+001	3.008289e+000	1.248440e+002
4.160000000000032e+001	3.002427e+000	1.249010e+002
4.170000000000032e+001	2.996172e+000	1.249404e+002
4.180000000000032e+001	2.989500e+000	1.249611e+002
4.190000000000033e+001	2.982385e+000	1.249619e+002
4.200000000000033e+001	2.974803e+000	1.249417e+002
4.210000000000033e+001	2.966725e+000	1.248991e+002
4.220000000000033e+001	2.958123e+000	1.248328e+002
4.230000000000033e+001	2.948967e+000	1.247413e+002
4.240000000000033e+001	2.939225e+000	1.246231e+002
4.250000000000033e+001	2.928867e+000	1.244769e+002
4.260000000000034e+001	2.917859e+000	1.243008e+002
4.270000000000034e+001	2.906166e+000	1.240933e+002
4.280000000000034e+001	2.893752e+000	1.238526e+002
4.290000000000034e+001	2.880582e+000	1.235770e+002
4.300000000000034e+001	2.866618e+000	1.232646e+002
4.310000000000034e+001	2.851820e+000	1.229134e+002
4.320000000000034e+001	2.836150e+000	1.225217e+002
4.330000000000035e+001	2.819566e+000	1.220872e+002
4.340000000000035e+001	2.802028e+000	1.216080e+002
4.350000000000035e+001	2.783493e+000	1.210819e+002
4.360000000000035e+001	2.763918e+000	1.205068e+002
4.370000000000035e+001	2.743259e+000	1.198804e+002
4.380000000000035e+001	2.721473e+000	1.192005e+002
4.390000000000035e+001	2.698515e+000	1.184648e+002
4.400000000000036e+001	2.674339e+000	1.176709e+002
4.410000000000036e+001	2.648900e+000	1.168165e+002
4.420000000000036e+001	2.622152e+000	1.158991e+002
4.430000000000036e+001	2.594050e+000	1.149164e+002
4.440000000000036e+001	2.564547e+000	1.138659e+002
4.450000000000036e+001	2.533597e+000	1.127450e+002
4.460000000000036e+001	2.501154e+000	1.115515e+002
4.470000000000037e+001	2.467175e+000	1.102827e+002
4.480000000000037e+001	2.431613e+000	1.089363e+002
4.490000000000037e+001	2.394426e+000	1.075097e+002
4.500000000000037e+001	2.355571e+000	1.060007e+002
4.510000000000037e+001	2.315007e+000	1.044068e+002
4.520000000000037e+001	2.272698e+000	1.027260e+002
4.530000000000037e+001	2.228609e+000	1.009560e+002
4.540000000000038e+001	2.182710e+000	9.909502e+001
4.550000000000038e+001	2.134979e+000	9.714153e+001
4.560000000000038e+001	2.085404e+000	9.509443e+001
4.570000000000038e+001	2.033989e+000	9.295332e+001
4.580000000000038e+001	1.980762e+000	9.071888e+001
4.590000000000038e+001	1.925787e+000	8.839363e+001
4.600000000000038e+001	1.869201e+000	8.598327e+001
4.610000000000039e+001	1.811268e+000	8.349945e+001
4.620000000000039e+001	1.752528e+000	8.096681e+001
4.630000000000039e+001	1.694230e+000	7.844284e+001
4.640000000000039e+001	1.639957e+000	7.609401e+001
4.650000000000039e+001	1.602757e+000	7.452822e+001
4.660000000000039e+001	1.595717e+000	7.436042e+001
4.670000000000039e+001	1.595462e+000	7.450808e+001
4.680000000000040e+001	1.595420e+000	7.466565e+001
4.690000000000040e+001	1.595382e+000	7.482341e+001
4.700000000000040e+001	1.595344e+000	7.498118e+001
4.710000000000040e+001	1.595306e+000	7.513893e+001
4.720000000000040e+001	1.595269e+000	7.529668e+001
4.730000000000040e+001	1.595231e+000	7.545442e+001
4.740000000000040e+001	1.595193e+000	7.561216e+001
4.750000000000041e+001	1.595155e+000	7.576988e+001
4.760000000000041e+001	1.595118e+000	7.592760e+001
4.770000000000041e+001	1.595080e+000	7.608531e+001
4.780000000000041e+001	1.595042e+000	7.624301e+001
4.790000000000041e+001	1.595004e+000	7.640070e+001
4.800000000000041e+001	1.594966e+000	7.655839e+001
4.810000000000041e+001	1.594929e+000	7.671607e+001
4.820000000000042e+001	1.594891e+000	7.687374e+001
4.830000000000042e+001	1.594853e+000	7.703140e+001
4.840000000000042e+001	1.594815e+000	7.718906e+001
4.850000000000042e+001	1.594777e+000	7.734671e+001
4.860000000000042e+001	1.594740e+000	7.750435e+001
4.870000000000042e+001	1.594702e+000	7.766199e+001
4.880000000000042e+001	1.594664e+000	7.781961e+001
4.890000000000043e+001	1.594626e+000	7.797723e+001
4.900000000000043e+001	1.594589e+000	7.813484e+001
4.910000000000043e+001	1.594551e+000	7.829244e+001
4.920000000000043e+001	1.594513e+000	7.845004e+001
4.930000000000043e+001	1.594475e+000	7.860762e+001
4.940000000000043e+001	1.594437e+000	7.876521e+001
4.950000000000043e+001	1.594400e+000	7.892278e+001
4.960000000000044e+001	1.594362e+000	7.908034e+001
4.970000000000044e+001	1.594324e+000	7.923790e+001
4.980000000000044e+001	1.594286e+000	7.939545e+001
4.990000000000044e+001	1.594248e+000	7.955299e+001
5.000000000000044e+001	1.594211e+000	7.971053e+001
5.010000000000044e+001	1.594173e+000	7.986805e+001
5.020000000000044e+001	1.594135e+000	8.002557e+001
5.030000000000045e+001	1.594097e+000	8.018308e+001
