v4	Ix(x1:MINS)	Ix(x1:MINS)*v4	Ix(x2:MINS)	Ix(x2:MINS)*v4	Ix(x3:MINS)	Ix(x3:MINS)*v4
1.900000000000001e+000	1.599456e+000	3.038966e+000	3.099441e+000	5.888938e+000	5.099421e+000	9.688900e+000
2.000000000000000e+000	1.599428e+000	3.198856e+000	3.099413e+000	6.198826e+000	5.099393e+000	1.019879e+001
2.100000000000001e+000	1.599400e+000	3.358741e+000	3.099385e+000	6.508709e+000	5.099365e+000	1.070867e+001
2.200000000000001e+000	1.599373e+000	3.518620e+000	3.099357e+000	6.818586e+000	5.099338e+000	1.121854e+001
2.300000000000001e+000	1.599345e+000	3.678493e+000	3.099330e+000	7.128458e+000	5.099309e+000	1.172841e+001
2.400000000000001e+000	1.599317e+000	3.838360e+000	3.099302e+000	7.438324e+000	5.099282e+000	1.223828e+001
2.500000000000001e+000	1.599289e+000	3.998223e+000	3.099274e+000	7.748185e+000	5.099254e+000	1.274814e+001
2.600000000000001e+000	1.599261e+000	4.158079e+000	3.099246e+000	8.058040e+000	5.099226e+000	1.325799e+001
2.700000000000001e+000	1.599233e+000	4.317930e+000	3.099218e+000	8.367890e+000	5.099198e+000	1.376784e+001
2.800000000000001e+000	1.599206e+000	4.477776e+000	3.099190e+000	8.677733e+000	5.099171e+000	1.427768e+001
2.900000000000001e+000	1.599178e+000	4.637615e+000	3.099163e+000	8.987571e+000	5.099143e+000	1.478751e+001
3.000000000000001e+000	1.599150e+000	4.797449e+000	3.099135e+000	9.297405e+000	5.099115e+000	1.529734e+001
3.100000000000001e+000	1.599122e+000	4.957278e+000	3.099107e+000	9.607232e+000	5.099087e+000	1.580717e+001
3.200000000000002e+000	1.599094e+000	5.117101e+000	3.099079e+000	9.917053e+000	5.099059e+000	1.631699e+001
3.300000000000002e+000	1.599066e+000	5.276919e+000	3.099051e+000	1.022687e+001	5.099031e+000	1.682680e+001
3.400000000000002e+000	1.599038e+000	5.436731e+000	3.099023e+000	1.053668e+001	5.099003e+000	1.733661e+001
3.500000000000002e+000	1.599011e+000	5.596537e+000	3.098995e+000	1.084648e+001	5.098976e+000	1.784641e+001
3.600000000000002e+000	1.598983e+000	5.756338e+000	3.098968e+000	1.115628e+001	5.098948e+000	1.835621e+001
3.700000000000002e+000	1.598955e+000	5.916133e+000	3.098940e+000	1.146608e+001	5.098920e+000	1.886600e+001
