v1	I(V2)
2.239999999999996e+000	2.999534e+000
2.249999999999996e+000	2.999481e+000
2.259999999999996e+000	2.999431e+000
2.269999999999996e+000	2.999385e+000
2.279999999999995e+000	2.999341e+000
2.289999999999995e+000	2.999301e+000
2.299999999999995e+000	2.999264e+000
2.309999999999995e+000	2.999228e+000
2.319999999999995e+000	2.999195e+000
2.329999999999994e+000	2.999165e+000
2.339999999999994e+000	2.999135e+000
2.349999999999994e+000	2.999109e+000
2.359999999999994e+000	2.999083e+000
2.369999999999993e+000	2.999059e+000
2.379999999999993e+000	2.999037e+000
2.389999999999993e+000	2.999016e+000
2.399999999999993e+000	2.998996e+000
2.409999999999993e+000	2.998976e+000
2.419999999999992e+000	2.998959e+000
2.429999999999992e+000	2.998941e+000
2.439999999999992e+000	2.998925e+000
2.449999999999992e+000	2.998910e+000
2.459999999999992e+000	2.998895e+000
2.469999999999991e+000	2.998881e+000
2.479999999999991e+000	2.998868e+000
2.489999999999991e+000	2.998854e+000
2.499999999999991e+000	2.998842e+000
2.509999999999991e+000	2.998830e+000
2.519999999999990e+000	2.998818e+000
2.529999999999990e+000	2.998806e+000
2.539999999999990e+000	2.998795e+000
2.549999999999990e+000	2.998784e+000
2.559999999999989e+000	2.998774e+000
2.569999999999989e+000	2.998763e+000
2.579999999999989e+000	2.998753e+000
2.589999999999989e+000	2.998743e+000
2.599999999999989e+000	2.998732e+000
2.609999999999988e+000	2.998722e+000
2.619999999999988e+000	2.998712e+000
2.629999999999988e+000	2.998702e+000
2.639999999999988e+000	2.998692e+000
2.649999999999988e+000	2.998682e+000
2.659999999999987e+000	2.998672e+000
2.669999999999987e+000	2.998662e+000
2.679999999999987e+000	2.998652e+000
2.689999999999987e+000	2.998642e+000
2.699999999999986e+000	2.998631e+000
2.709999999999986e+000	2.998621e+000
2.719999999999986e+000	2.998610e+000
2.729999999999986e+000	2.998599e+000
2.739999999999986e+000	2.998588e+000
2.749999999999985e+000	2.998577e+000
2.759999999999985e+000	2.998566e+000
2.769999999999985e+000	2.998554e+000
2.779999999999985e+000	2.998542e+000
2.789999999999985e+000	2.998530e+000
2.799999999999984e+000	2.998518e+000
2.809999999999984e+000	2.998505e+000
2.819999999999984e+000	2.998492e+000
2.829999999999984e+000	2.998478e+000
2.839999999999983e+000	2.998465e+000
2.849999999999983e+000	2.998451e+000
2.859999999999983e+000	2.998436e+000
2.869999999999983e+000	2.998422e+000
2.879999999999983e+000	2.998406e+000
2.889999999999982e+000	2.998391e+000
2.899999999999982e+000	2.998375e+000
2.909999999999982e+000	2.998358e+000
2.919999999999982e+000	2.998342e+000
2.929999999999982e+000	2.998324e+000
2.939999999999981e+000	2.998306e+000
2.949999999999981e+000	2.998288e+000
2.959999999999981e+000	2.998269e+000
2.969999999999981e+000	2.998250e+000
2.979999999999980e+000	2.998229e+000
2.989999999999980e+000	2.998209e+000
2.999999999999980e+000	2.998188e+000
3.009999999999980e+000	2.998166e+000
3.019999999999980e+000	2.998143e+000
3.029999999999979e+000	2.998120e+000
3.039999999999979e+000	2.998096e+000
3.049999999999979e+000	2.998071e+000
3.059999999999979e+000	2.998046e+000
3.069999999999979e+000	2.998019e+000
3.079999999999978e+000	2.997993e+000
3.089999999999978e+000	2.997965e+000
3.099999999999978e+000	2.997936e+000
3.109999999999978e+000	2.997906e+000
3.119999999999978e+000	2.997876e+000
3.129999999999977e+000	2.997845e+000
3.139999999999977e+000	2.997812e+000
3.149999999999977e+000	2.997779e+000
3.159999999999977e+000	2.997744e+000
3.169999999999976e+000	2.997709e+000
3.179999999999976e+000	2.997672e+000
3.189999999999976e+000	2.997635e+000
3.199999999999976e+000	2.997596e+000
3.209999999999976e+000	2.997555e+000
3.219999999999975e+000	2.997514e+000
3.229999999999975e+000	2.997471e+000
3.239999999999975e+000	2.997427e+000
3.249999999999975e+000	2.997382e+000
3.259999999999975e+000	2.997335e+000
3.269999999999974e+000	2.997287e+000
3.279999999999974e+000	2.997237e+000
