v1	I(V2)	Ix(x2:VF0)
2.479999999999991e+000	3.155347e+000	3.155347e+000
2.489999999999991e+000	3.151803e+000	3.151803e+000
2.499999999999991e+000	3.148281e+000	3.148281e+000
2.509999999999991e+000	3.144780e+000	3.144780e+000
2.519999999999990e+000	3.141303e+000	3.141303e+000
2.529999999999990e+000	3.137849e+000	3.137849e+000
2.539999999999990e+000	3.134420e+000	3.134420e+000
2.549999999999990e+000	3.131017e+000	3.131017e+000
2.559999999999989e+000	3.127640e+000	3.127640e+000
2.569999999999989e+000	3.124290e+000	3.124290e+000
2.579999999999989e+000	3.120968e+000	3.120968e+000
2.589999999999989e+000	3.117676e+000	3.117676e+000
2.599999999999989e+000	3.114413e+000	3.114413e+000
2.609999999999988e+000	3.111182e+000	3.111182e+000
2.619999999999988e+000	3.107982e+000	3.107982e+000
2.629999999999988e+000	3.104816e+000	3.104816e+000
2.639999999999988e+000	3.101684e+000	3.101684e+000
2.649999999999988e+000	3.098588e+000	3.098588e+000
2.659999999999987e+000	3.095527e+000	3.095527e+000
2.669999999999987e+000	3.092504e+000	3.092504e+000
2.679999999999987e+000	3.089519e+000	3.089519e+000
2.689999999999987e+000	3.086574e+000	3.086574e+000
2.699999999999986e+000	3.083670e+000	3.083670e+000
2.709999999999986e+000	3.080807e+000	3.080807e+000
2.719999999999986e+000	3.077988e+000	3.077988e+000
2.729999999999986e+000	3.075212e+000	3.075212e+000
2.739999999999986e+000	3.072482e+000	3.072482e+000
2.749999999999985e+000	3.069798e+000	3.069798e+000
2.759999999999985e+000	3.067162e+000	3.067162e+000
2.769999999999985e+000	3.064574e+000	3.064574e+000
2.779999999999985e+000	3.062036e+000	3.062036e+000
2.789999999999985e+000	3.059548e+000	3.059548e+000
2.799999999999984e+000	3.057113e+000	3.057113e+000
2.809999999999984e+000	3.054730e+000	3.054730e+000
2.819999999999984e+000	3.052400e+000	3.052400e+000
2.829999999999984e+000	3.050125e+000	3.050125e+000
2.839999999999983e+000	3.047906e+000	3.047906e+000
2.849999999999983e+000	3.045743e+000	3.045743e+000
2.859999999999983e+000	3.043636e+000	3.043636e+000
2.869999999999983e+000	3.041588e+000	3.041588e+000
2.879999999999983e+000	3.039597e+000	3.039597e+000
2.889999999999982e+000	3.037665e+000	3.037665e+000
2.899999999999982e+000	3.035792e+000	3.035792e+000
2.909999999999982e+000	3.033978e+000	3.033978e+000
2.919999999999982e+000	3.032224e+000	3.032224e+000
2.929999999999982e+000	3.030529e+000	3.030529e+000
2.939999999999981e+000	3.028893e+000	3.028893e+000
2.949999999999981e+000	3.027318e+000	3.027318e+000
2.959999999999981e+000	3.025801e+000	3.025801e+000
2.969999999999981e+000	3.024343e+000	3.024343e+000
2.979999999999980e+000	3.022943e+000	3.022943e+000
2.989999999999980e+000	3.021600e+000	3.021600e+000
2.999999999999980e+000	3.020315e+000	3.020315e+000
3.009999999999980e+000	3.019085e+000	3.019085e+000
3.019999999999980e+000	3.017910e+000	3.017910e+000
3.029999999999979e+000	3.016790e+000	3.016790e+000
3.039999999999979e+000	3.015723e+000	3.015723e+000
3.049999999999979e+000	3.014706e+000	3.014706e+000
3.059999999999979e+000	3.013741e+000	3.013741e+000
3.069999999999979e+000	3.012824e+000	3.012824e+000
3.079999999999978e+000	3.011955e+000	3.011955e+000
3.089999999999978e+000	3.011131e+000	3.011131e+000
3.099999999999978e+000	3.010352e+000	3.010352e+000
3.109999999999978e+000	3.009616e+000	3.009616e+000
3.119999999999978e+000	3.008920e+000	3.008920e+000
3.129999999999977e+000	3.008265e+000	3.008265e+000
3.139999999999977e+000	3.007647e+000	3.007647e+000
3.149999999999977e+000	3.007066e+000	3.007066e+000
3.159999999999977e+000	3.006519e+000	3.006519e+000
3.169999999999976e+000	3.006006e+000	3.006006e+000
3.179999999999976e+000	3.005523e+000	3.005523e+000
3.189999999999976e+000	3.005071e+000	3.005071e+000
3.199999999999976e+000	3.004647e+000	3.004647e+000
3.209999999999976e+000	3.004250e+000	3.004250e+000
3.219999999999975e+000	3.003878e+000	3.003878e+000
3.229999999999975e+000	3.003530e+000	3.003530e+000
3.239999999999975e+000	3.003205e+000	3.003205e+000
3.249999999999975e+000	3.002901e+000	3.002901e+000
3.259999999999975e+000	3.002617e+000	3.002617e+000
3.269999999999974e+000	3.002352e+000	3.002352e+000
3.279999999999974e+000	3.002105e+000	3.002105e+000
3.289999999999974e+000	3.001875e+000	3.001875e+000
3.299999999999974e+000	3.001660e+000	3.001660e+000
3.309999999999973e+000	3.001460e+000	3.001460e+000
3.319999999999973e+000	3.001274e+000	3.001274e+000
3.329999999999973e+000	3.001100e+000	3.001100e+000
3.339999999999973e+000	3.000938e+000	3.000938e+000
3.349999999999973e+000	3.000788e+000	3.000788e+000
3.359999999999972e+000	3.000648e+000	3.000648e+000
3.369999999999972e+000	3.000517e+000	3.000517e+000
3.379999999999972e+000	3.000396e+000	3.000396e+000
3.389999999999972e+000	3.000283e+000	3.000283e+000
3.399999999999972e+000	3.000178e+000	3.000178e+000
3.409999999999971e+000	3.000080e+000	3.000080e+000
3.419999999999971e+000	2.999990e+000	2.999990e+000
3.429999999999971e+000	2.999905e+000	2.999905e+000
3.439999999999971e+000	2.999826e+000	2.999826e+000
3.449999999999970e+000	2.999753e+000	2.999753e+000
3.459999999999970e+000	2.999685e+000	2.999685e+000
3.469999999999970e+000	2.999621e+000	2.999621e+000
3.479999999999970e+000	2.999562e+000	2.999562e+000
3.489999999999970e+000	2.999507e+000	2.999507e+000
3.499999999999969e+000	2.999456e+000	2.999456e+000
3.509999999999969e+000	2.999408e+000	2.999408e+000
3.519999999999969e+000	2.999363e+000	2.999363e+000
3.529999999999969e+000	2.999322e+000	2.999322e+000
3.539999999999969e+000	2.999283e+000	2.999283e+000
3.549999999999968e+000	2.999246e+000	2.999246e+000
3.559999999999968e+000	2.999213e+000	2.999213e+000
3.569999999999968e+000	2.999181e+000	2.999181e+000
3.579999999999968e+000	2.999151e+000	2.999151e+000
3.589999999999967e+000	2.999123e+000	2.999123e+000
3.599999999999967e+000	2.999097e+000	2.999097e+000
3.609999999999967e+000	2.999072e+000	2.999072e+000
3.619999999999967e+000	2.999049e+000	2.999049e+000
3.629999999999967e+000	2.999027e+000	2.999027e+000
3.639999999999966e+000	2.999006e+000	2.999006e+000
3.649999999999966e+000	2.998987e+000	2.998987e+000
3.659999999999966e+000	2.998968e+000	2.998968e+000
3.669999999999966e+000	2.998951e+000	2.998951e+000
3.679999999999966e+000	2.998934e+000	2.998934e+000
3.689999999999965e+000	2.998918e+000	2.998918e+000
3.699999999999965e+000	2.998903e+000	2.998903e+000
3.709999999999965e+000	2.998889e+000	2.998889e+000
3.719999999999965e+000	2.998875e+000	2.998875e+000
3.729999999999965e+000	2.998862e+000	2.998862e+000
3.739999999999964e+000	2.998849e+000	2.998849e+000
3.749999999999964e+000	2.998837e+000	2.998837e+000
3.759999999999964e+000	2.998825e+000	2.998825e+000
3.769999999999964e+000	2.998813e+000	2.998813e+000
3.779999999999963e+000	2.998801e+000	2.998801e+000
3.789999999999963e+000	2.998791e+000	2.998791e+000
3.799999999999963e+000	2.998780e+000	2.998780e+000
3.809999999999963e+000	2.998769e+000	2.998769e+000
3.819999999999963e+000	2.998759e+000	2.998759e+000
3.829999999999962e+000	2.998748e+000	2.998748e+000
3.839999999999962e+000	2.998738e+000	2.998738e+000
3.849999999999962e+000	2.998728e+000	2.998728e+000
3.859999999999962e+000	2.998718e+000	2.998718e+000
3.869999999999962e+000	2.998708e+000	2.998708e+000
3.879999999999961e+000	2.998698e+000	2.998698e+000
3.889999999999961e+000	2.998688e+000	2.998688e+000
3.899999999999961e+000	2.998678e+000	2.998678e+000
3.909999999999961e+000	2.998668e+000	2.998668e+000
3.919999999999960e+000	2.998658e+000	2.998658e+000
3.929999999999960e+000	2.998648e+000	2.998648e+000
